"","900 users","1200 users","1800 users","2400 users","3000 users"
"SMB2.Ops.sec",2212.558,2870.625,4373.342,5794.892,7393.025
"VSPfs00.Ops.sec",2105.075,2787.792,4390.792,5662.3,7183.017
"VSPfs00.CIFS.Read.Resp.Time",4079.95,2927.683,2403.125,2808.417,3664.625
"VSPfs00.CIFS.Write.Resp.Time",492.075,473.183,486.958,598.225,892.492
"MFB",3.183,3.358,4.142,4.942,7.283
"MMB",22.875,27.317,36.983,44.658,52.017
"NibRX.Busy",1.317,1.758,2.783,3.783,3.5
"NibTX.Busy",3,3,3,3.083,3.492
"NibTCP.Busy",0.883,1.1,1.742,2.45,3.475
"NICC.Busy",0.367,0.542,1.033,1.142,1.658
"FDP.Busy",0.317,0.542,1.067,1.275,1.525
"TDP.Busy",1.075,1.308,2.242,2.758,3.858
"FSA.Busy",0.325,0.367,1,1.142,2.167
"MBI.Busy",0.233,0.283,0.575,0.983,0.992
"WDIR.Busy",0.608,0.925,1.033,1.392,1.983
"WFILE.Busy",1.008,1.258,1.85,2.408,3.467
"WLOG.Busy",1.183,1.525,2.508,3.275,4.367
"OBJ.Busy",0.975,1.067,1.675,2.225,3.7
"SI.Busy",1.642,2.192,3.667,4.467,6.642
"Eth.RX",84.458,111.333,192.883,263.25,382.642
"Eth.TX",114.033,159,245.225,313.95,420.783
"FC.RX",98.275,138.383,213.933,280.842,357.975
"FC.TX",71.008,119.767,238.233,222.567,391.308
"Port1.Disk.Read",3442841.6,5625753.6,7977066.667,10115827.2,13328772.267
"Port1.Disk.Write",2560409.6,4574037.333,9091413.333,8337578.667,14549060.267
"Port2.Disk.Read",3776307.2,5102528,8184247.467,10591637.333,13229149.867
"Port2.Disk.Write",2652569.6,4509730.133,9420151.467,8411852.8,14528375.467
"Port3.Disk.Read",2543031.467,3422523.733,5047488,7254656,9068142.933
"Port3.Disk.Write",1838284.8,2971238.4,6192196.267,5874244.267,9903104
"Port4.Disk.Read",2586952.533,3161642.667,5581196.8,7250816,9245260.8
"Port4.Disk.Write",1832686.933,2926387.2,6191513.6,5759761.067,9950583.467
