"","Baseline Read","File Auditing Read","DI File Auditing Read","DI Scaning Read","DI File Audit and Scan Read","Baseline Write","File Auditing Write","DI File Auditing Write","DI Scaning Write","DI File Audit and Scan Write"
"1","0","3916","2466","880","2698","0","25236","2816","2433","15554"
"2","323","2725","2636","2910","3031","632","6845","1816","2337","3069"
"3","372","4043","4084","2536","3368","651","4364","1643","2091","2918"
"4","457","3888","4481","3881","4458","665","3568","1692","2194","3070"
"5","3547","4477","3847","2955","4711","532","2559","1870","2275","3359"
"6","3842","4824","3542","3023","3241","540","2236","1616","2204","3348"
"7","5789","5155","4832","3897","3378","530","2491","1779","2204","2930"
"8","5413","4108","3044","2709","2646","510","2165","1714","2292","2627"
"9","4108","3902","3093","3413","4003","497","2312","1644","2531","2999"
"10","4932","4376","4175","2965","3813","553","2201","1533","2019","2958"
"11","2915","3579","2926","2704","3224","462","1743","1617","2158","2646"
"12","4292","4042","4434","3644","4716","525","2013","1752","2161","2822"
"13","5169","4039","3924","2989","3248","487","1860","1562","2307","2618"
"14","3748","4564","3831","3099","3803","503","1694","1573","2306","2688"
"15","5635","3787","3231","2493","3567","515","1693","1601","2143","3018"
"16","3657","4043","3045","2573","3157","491","1642","1424","2183","2627"
"17","4557","3253","3175","2638","2821","532","1702","1612","2239","3338"
"18","4089","3631","2740","2647","3474","495","1498","1830","2478","2676"
"19","3534","3483","4194","3286","3250","508","1544","2181","2281","3208"
"20","3093","3471","3511","2719","3520","513","1435","1621","2180","2719"
"21","2676","4671","3510","3243","3655","485","1429","1709","2535","2448"
"22","4662","3956","3312","2757","4740","544","1505","1511","2541","1970"
"23","3605","3592","3616","2803","3402","465","1198","1754","2359","1801"
"24","5246","3822","3545","3023","3106","498","1416","2050","2157","1929"
"25","4555","4502","3333","2876","3404","498","1359","1999","2321","1690"
"26","4020","4137","3928","3977","4052","468","1381","1517","2476","1516"
"27","3947","5679","4628","2851","3586","508","1357","1613","2185","1759"
"28","3437","3547","3849","3282","3694","519","1400","1481","2129","1724"
"29","4744","4747","3896","3429","3130","501","1427","1532","2189","1804"
"30","5448","4495","4134","3124","3152","519","1456","1702","2170","1724"
"31","4322","2982","3006","2368","2397","508","1366","1769","2323","1730"
"32","4741","2523","2875","2207","3588","567","1329","1761","1940","1766"
"33","3327","3951","3567","3456","2710","483","1201","1861","2194","1847"
"34","3018","3857","3732","2512","3136","554","1362","1837","2097","1734"
"35","2854","3639","3349","3453","3578","473","1113","1595","2133","2027"
"36","3409","4962","3920","3202","3625","513","1330","1602","2202","1708"
"37","4228","4247","4023","2586","3708","476","1321","1837","2095","1943"
"38","3806","3130","3976","3551","2965","487","1213","1523","2108","1814"
"39","5532","3206","3292","2569","2811","504","1223","1793","2021","1932"
"40","4361","2762","2557","2960","3130","482","1092","1806","2142","1760"
"41","4010","4112","3686","3139","2485","493","1166","1779","2152","1811"
"42","4662","2801","3797","3029","4064","496","1084","2003","2192","1796"
"43","3082","3600","3519","3380","3493","468","1172","1916","2230","1939"
"44","3662","4194","3960","2614","3064","512","1070","1696","2265","1751"
"45","3680","3928","3920","3103","3136","463","1094","1587","2106","1754"
"46","5400","3291","3551","2617","2606","544","1295","1677","2158","1647"
"47","4069","3180","3253","2359","2580","503","1109","1519","2230","1626"
"48","4296","2730","3350","2431","2580","511","1116","1754","2095","1649"
"49","3675","3404","2765","2435","3504","472","1118","1625","2081","1679"
"50","2875","3720","3250","3710","3759","478","997","1659","2152","1706"
"51","3346","5537","3876","2825","3291","482","1156","1392","1885","1911"
"52","2186","4946","3731","3282","3483","536","1004","1785","2277","1660"
"53","4510","3542","2940","2823","3466","491","1038","1575","2112","1767"
"54","4833","3757","5036","2725","2847","504","1083","1467","2018","1864"
"55","5075","3575","3321","2902","2930","466","1043","1983","2201","2125"
"56","4557","3249","2871","2210","3121","529","1015","1369","2012","1998"
"57","3750","4080","3538","3885","3555","441","1193","1753","2366","2034"
"58","3728","3536","4097","3264","3403","526","872","1906","2387","1779"
"59","3361","3585","3994","2792","3032","462","1054","1889","1958","2054"
"60","4068","3039","3972","2438","2680","477","996","1678","2130","1607"
"61","4296","3324","3025","2567","2745","465","1019","1930","2254","1763"
"62","5021","2359","3075","2194","2326","489","1005","2003","2158","1624"
"63","3595","2062","2804","2796","20287","486","918","1681","2590","67467"
"64","3974","2940","2604","2853","2727","451","960","1843","2181","1288"
"65","3015","2382","4228","2548","2647","463","838","1719","2238","1540"
"66","2568","4252","3105","3298","2839","491","954","1620","2169","1758"
"67","2585","4013","3828","2891","2707","482","898","1977","2073","1603"
"68","3490","4009","3487","3400","2879","485","962","1310","2320","1737"
"69","3094","4254","3594","3227","3454","462","1050","1482","2239","1993"
"70","5936","3654","3133","3311","2707","515","850","1672","2196","1563"
"71","4200","4484","2979","3298","2843","471","962","1950","2294","1790"
"72","4403","3016","3035","2780","2753","491","886","1482","2209","1728"
"73","5251","3694","2413","3334","2876","470","914","1654","2191","1884"
"74","4172","3690","3240","3153","2765","477","919","1592","2209","1516"
"75","4229","4323","3581","3658","3300","542","939","1587","2116","1806"
"76","4127","5690","4317","3925","2743","489","1036","1568","2243","1910"
"77","5292","5303","4142","3859","3496","479","906","1501","2267","1816"
"78","3233","7530","4764","4643","3959","494","985","1743","2261","1835"
"79","5196","5600","4034","4901","3617","468","943","1493","1955","1627"
"80","6212","6345","4014","4134","3649","465","921","1697","2207","1681"
"81","6793","5199","3368","3538","3135","456","981","1663","1973","1782"
"82","8537","3818","3429","3574","3333","604","962","1746","2094","1692"
"83","6878","4534","3676","3265","3241","460","1094","1572","2137","1735"
"84","6278","3708","3551","2733","2883","496","913","1593","2170","1570"
"85","5206","3511","2841","2767","3334","467","917","1461","2064","1736"
"86","4745","4011","2618","2514","2773","460","910","1738","2097","1549"
"87","5362","3806","3700","3271","2936","492","901","1719","2162","1698"
"88","3675","4289","2706","2745","2624","457","891","1564","2149","1576"
"89","3939","4323","3292","3411","2796","469","885","1677","2192","1672"
"90","3846","4617","3503","3732","2631","509","968","1684","2209","1763"
"91","3737","3872","2809","2778","2669","518","854","1493","2284","1750"
"92","4014","3856","2545","2807","1964","488","857","1779","2297","1690"
"93","4443","2681","2281","1830","2090","466","950","1772","2212","1746"
"94","5056","1803","1956","2650","2272","507","740","1613","2236","1828"
"95","4016","2787","3264","2836","3091","448","962","1547","2167","1800"
"96","3994","3801","4011","2899","2892","494","838","1515","2227","1646"
"97","2852","4132","3612","4001","3186","468","873","1728","2226","1778"
"98","3174","4713","2959","2794","3097","508","871","1604","2176","1542"
"99","4550","4221","3101","3138","3645","484","848","1517","2252","1808"
"100","3588","2706","3278","2556","3363","467","805","1843","2017","1773"
"101","5137","3512","3442","3033","2164","476","795","1614","2127","1827"
"102","4858","3663","3113","2823","2830","482","858","1768","2221","1608"
"103","3795","3732","2690","2779","2764","491","806","1383","2151","1741"
"104","4157","5048","3147","3550","3009","459","901","1655","2252","1682"
"105","3099","4385","3847","2278","2640","458","888","1690","1877","1628"
"106","4350","3332","3405","3773","2791","562","722","1508","2136","1812"
"107","3489","4519","3264","3056","2653","475","1007","1549","2106","1717"
"108","4656","3399","3039","2885","2933","497","808","1612","2247","1539"
"109","4027","2496","2813","2573","2683","463","868","1645","2180","1920"
"110","3720","3606","2796","2027","1832","475","853","1663","1962","1549"
"111","5509","2731","2628","3141","2908","470","828","1963","2218","1756"
"112","4105","2727","3339","2628","3071","459","812","1526","2062","1798"
"113","2671","3893","3404","2885","3076","499","809","1630","2195","1770"
"114","2240","4164","3476","3129","2687","454","839","1789","2147","1802"
"115","4447","4184","3318","2799","2689","512","755","1737","2066","1847"
"116","3448","4140","3021","3095","2493","478","772","1819","2274","1721"
"117","4308","3021","2434","2126","2518","460","782","1437","2078","1660"
"118","4350","3210","2231","3000","2577","506","675","1578","2319","1599"
"119","4051","4657","4231","2678","3405","474","870","1643","2041","1797"
"120","4370","4464","2690","2750","2890","499","791","1624","2151","1762"
